assessment_id,student_id,subject,assessment_type,date,max_marks,obtained_marks,percentage,grade,term,remarks
ASS_INST_001_001858,STU_INST_001_0125,Hindi,Monthly Test,2025-06-07,50,3,7.4,D,First Term,Needs Improvement
ASS_INST_001_001859,STU_INST_001_0126,Economics,Viva Voce,2025-08-01,50,14,28.7,D,Final Term,Needs Improvement
ASS_INST_001_001860,STU_INST_001_0126,Sanskrit,Viva Voce,2025-07-17,20,2,12.5,D,Second Term,Needs Improvement
ASS_INST_001_001861,STU_INST_001_0126,Accountancy,Internal Assessment,2025-06-16,100,5,5.2,D,Second Term,Needs Improvement
ASS_INST_001_001862,STU_INST_001_0126,Mathematics,Assignment,2025-06-27,20,7,37.2,D,Second Term,Needs Improvement
ASS_INST_001_001863,STU_INST_001_0126,Mathematics,Unit Test,2025-08-14,100,40,40.6,C2,Second Term,Needs Improvement
ASS_INST_001_001864,STU_INST_001_0126,Sanskrit,Practical Exam,2025-08-09,100,49,50.0,C2,Final Term,Needs Improvement
ASS_INST_001_001865,STU_INST_001_0126,Science,Internal Assessment,2025-07-19,50,10,21.7,D,Second Term,Needs Improvement
ASS_INST_001_001866,STU_INST_001_0126,Economics,Final Exam,2025-08-02,25,7,29.9,D,Second Term,Needs Improvement
ASS_INST_001_001867,STU_INST_001_0126,Accountancy,Monthly Test,2025-05-19,100,56,56.8,C1,Second Term,Satisfactory
ASS_INST_001_001868,STU_INST_001_0126,Computer Science,Quiz,2025-07-18,80,51,64.5,B2,Final Term,Good
ASS_INST_001_001869,STU_INST_001_0126,Hindi,Final Exam,2025-08-18,25,11,46.3,C2,Final Term,Needs Improvement
ASS_INST_001_001870,STU_INST_001_0126,Hindi,Final Exam,2025-08-02,50,10,20.5,D,First Term,Needs Improvement
ASS_INST_001_001871,STU_INST_001_0126,Economics,Final Exam,2025-06-11,80,21,26.9,D,Final Term,Needs Improvement
ASS_INST_001_001872,STU_INST_001_0126,Mathematics,Assignment,2025-08-25,80,18,23.6,D,First Term,Needs Improvement
ASS_INST_001_001873,STU_INST_001_0126,English,Project Work,2025-07-12,20,7,39.5,D,First Term,Needs Improvement
ASS_INST_001_001874,STU_INST_001_0126,Physics,Quiz,2025-07-11,50,6,12.1,D,First Term,Needs Improvement
ASS_INST_001_001875,STU_INST_001_0126,Sanskrit,Internal Assessment,2025-06-30,100,32,32.6,D,Second Term,Needs Improvement
ASS_INST_001_001876,STU_INST_001_0127,English,Practical Exam,2025-06-13,25,17,71.9,B1,First Term,Very Good
ASS_INST_001_001877,STU_INST_001_0127,Sanskrit,Monthly Test,2025-09-03,20,14,72.9,B1,Final Term,Very Good
ASS_INST_001_001878,STU_INST_001_0127,Physics,Viva Voce,2025-07-12,20,9,47.6,C2,Final Term,Needs Improvement
ASS_INST_001_001879,STU_INST_001_0127,Mathematics,Assignment,2025-07-19,25,17,70.4,B1,Final Term,Very Good
ASS_INST_001_001880,STU_INST_001_0127,Chemistry,Practical Exam,2025-06-05,50,48,97.8,A1,First Term,Outstanding
ASS_INST_001_001881,STU_INST_001_0127,Chemistry,Project Work,2025-06-03,50,28,57.8,C1,First Term,Satisfactory
ASS_INST_001_001882,STU_INST_001_0127,Mathematics,Half Yearly Exam,2025-05-27,50,35,70.7,B1,Second Term,Very Good
ASS_INST_001_001883,STU_INST_001_0127,Accountancy,Quiz,2025-06-29,80,26,32.8,D,First Term,Needs Improvement
ASS_INST_001_001884,STU_INST_001_0127,Economics,Quiz,2025-09-15,25,17,70.6,B1,Final Term,Very Good
ASS_INST_001_001885,STU_INST_001_0127,Chemistry,Unit Test,2025-06-25,100,69,69.9,B2,Second Term,Good
ASS_INST_001_001886,STU_INST_001_0127,Physics,Project Work,2025-05-22,100,68,68.1,B2,Second Term,Good
ASS_INST_001_001887,STU_INST_001_0127,Accountancy,Project Work,2025-08-11,100,79,79.1,B1,Second Term,Very Good
ASS_INST_001_001888,STU_INST_001_0127,Computer Science,Project Work,2025-07-14,100,60,61.0,B2,Final Term,Good
ASS_INST_001_001889,STU_INST_001_0127,Physics,Monthly Test,2025-07-07,50,43,87.2,A2,Second Term,Excellent
ASS_INST_001_001890,STU_INST_001_0127,English,Unit Test,2025-08-20,80,40,50.1,C1,Final Term,Satisfactory
ASS_INST_001_001891,STU_INST_001_0127,Sanskrit,Half Yearly Exam,2025-06-24,50,45,92.0,A1,Final Term,Outstanding
ASS_INST_001_001892,STU_INST_001_0128,Sanskrit,Assignment,2025-07-06,100,53,53.9,C1,First Term,Satisfactory
ASS_INST_001_001893,STU_INST_001_0128,Chemistry,Quiz,2025-07-26,80,39,48.8,C2,Second Term,Needs Improvement
ASS_INST_001_001894,STU_INST_001_0128,Sanskrit,Project Work,2025-07-14,50,12,24.3,D,Final Term,Needs Improvement
ASS_INST_001_001895,STU_INST_001_0128,Mathematics,Half Yearly Exam,2025-06-22,50,15,30.1,D,Final Term,Needs Improvement
ASS_INST_001_001896,STU_INST_001_0128,Sanskrit,Viva Voce,2025-05-19,100,56,56.4,C1,First Term,Satisfactory
ASS_INST_001_001897,STU_INST_001_0128,Science,Half Yearly Exam,2025-05-22,80,29,37.2,D,First Term,Needs Improvement
ASS_INST_001_001898,STU_INST_001_0128,Hindi,Assignment,2025-08-08,20,13,68.0,B2,Final Term,Good
ASS_INST_001_001899,STU_INST_001_0128,Science,Half Yearly Exam,2025-06-21,80,44,55.2,C1,Final Term,Satisfactory
ASS_INST_001_001900,STU_INST_001_0128,English,Unit Test,2025-06-01,25,6,24.4,D,First Term,Needs Improvement
ASS_INST_001_001901,STU_INST_001_0128,Hindi,Half Yearly Exam,2025-07-20,25,15,63.8,B2,Final Term,Good
ASS_INST_001_001902,STU_INST_001_0128,Hindi,Practical Exam,2025-08-10,50,23,47.1,C2,First Term,Needs Improvement
ASS_INST_001_001903,STU_INST_001_0128,Physics,Unit Test,2025-08-19,100,49,49.2,C2,Final Term,Needs Improvement
ASS_INST_001_001904,STU_INST_001_0128,Hindi,Unit Test,2025-07-01,80,55,68.9,B2,Second Term,Good
ASS_INST_001_001905,STU_INST_001_0128,English,Assignment,2025-09-02,50,12,25.0,D,First Term,Needs Improvement
ASS_INST_001_001906,STU_INST_001_0128,Accountancy,Viva Voce,2025-08-01,20,5,29.8,D,Final Term,Needs Improvement
ASS_INST_001_001907,STU_INST_001_0128,Computer Science,Viva Voce,2025-06-27,25,13,55.9,C1,Second Term,Satisfactory
ASS_INST_001_001908,STU_INST_001_0128,Mathematics,Project Work,2025-06-22,100,19,19.5,D,Second Term,Needs Improvement
ASS_INST_001_001909,STU_INST_001_0129,Science,Project Work,2025-07-03,80,22,27.7,D,Final Term,Needs Improvement
ASS_INST_001_001910,STU_INST_001_0129,Accountancy,Final Exam,2025-07-24,50,28,56.2,C1,First Term,Satisfactory
ASS_INST_001_001911,STU_INST_001_0129,English,Assignment,2025-06-24,20,7,36.7,D,Final Term,Needs Improvement
ASS_INST_001_001912,STU_INST_001_0129,Science,Project Work,2025-05-30,80,11,13.9,D,Final Term,Needs Improvement
ASS_INST_001_001913,STU_INST_001_0129,Science,Monthly Test,2025-08-25,80,33,42.0,C2,Final Term,Needs Improvement
ASS_INST_001_001914,STU_INST_001_0129,Physics,Project Work,2025-09-11,100,31,31.3,D,Second Term,Needs Improvement
ASS_INST_001_001915,STU_INST_001_0129,Computer Science,Monthly Test,2025-08-21,100,25,26.0,D,Second Term,Needs Improvement
ASS_INST_001_001916,STU_INST_001_0129,Science,Monthly Test,2025-09-05,100,100,100.0,A1,Second Term,Outstanding
ASS_INST_001_001917,STU_INST_001_0129,Sanskrit,Unit Test,2025-08-24,25,12,49.0,C2,First Term,Needs Improvement
ASS_INST_001_001918,STU_INST_001_0129,Hindi,Project Work,2025-06-12,80,26,33.5,D,Final Term,Needs Improvement
ASS_INST_001_001919,STU_INST_001_0129,English,Final Exam,2025-05-21,25,13,54.8,C1,Second Term,Satisfactory
ASS_INST_001_001920,STU_INST_001_0129,Mathematics,Quiz,2025-07-18,100,33,33.4,D,Final Term,Needs Improvement
ASS_INST_001_001921,STU_INST_001_0129,Physics,Quiz,2025-07-24,25,7,29.3,D,First Term,Needs Improvement
ASS_INST_001_001922,STU_INST_001_0129,Physics,Quiz,2025-05-27,25,11,44.0,C2,Final Term,Needs Improvement
ASS_INST_001_001923,STU_INST_001_0129,Hindi,Half Yearly Exam,2025-08-01,50,23,47.8,C2,Final Term,Needs Improvement
ASS_INST_001_001924,STU_INST_001_0129,Hindi,Quiz,2025-06-04,50,27,55.3,C1,Final Term,Satisfactory
ASS_INST_001_001925,STU_INST_001_0129,Biology,Half Yearly Exam,2025-08-16,50,32,64.3,B2,First Term,Good
ASS_INST_001_001926,STU_INST_001_0130,Physics,Final Exam,2025-08-31,20,9,49.1,C2,Final Term,Needs Improvement
ASS_INST_001_001927,STU_INST_001_0130,Computer Science,Monthly Test,2025-06-25,80,34,43.2,C2,First Term,Needs Improvement
ASS_INST_001_001928,STU_INST_001_0130,Computer Science,Assignment,2025-06-14,20,9,45.0,C2,First Term,Needs Improvement
ASS_INST_001_001929,STU_INST_001_0130,Sanskrit,Monthly Test,2025-06-30,25,12,49.1,C2,First Term,Needs Improvement
ASS_INST_001_001930,STU_INST_001_0130,English,Assignment,2025-07-28,80,32,40.5,C2,Second Term,Needs Improvement
ASS_INST_001_001931,STU_INST_001_0130,Accountancy,Assignment,2025-06-29,80,0,0.0,D,First Term,Needs Improvement
ASS_INST_001_001932,STU_INST_001_0130,Social Studies,Internal Assessment,2025-08-23,100,36,36.7,D,Second Term,Needs Improvement
ASS_INST_001_001933,STU_INST_001_0130,Economics,Unit Test,2025-07-15,25,13,52.5,C1,Final Term,Satisfactory
ASS_INST_001_001934,STU_INST_001_0130,Biology,Assignment,2025-09-09,25,3,13.3,D,First Term,Needs Improvement
ASS_INST_001_001935,STU_INST_001_0130,Physics,Unit Test,2025-05-24,80,16,20.7,D,Second Term,Needs Improvement
ASS_INST_001_001936,STU_INST_001_0130,Physics,Monthly Test,2025-08-31,80,21,26.7,D,Second Term,Needs Improvement
ASS_INST_001_001937,STU_INST_001_0130,English,Project Work,2025-06-17,50,15,31.2,D,Final Term,Needs Improvement
ASS_INST_001_001938,STU_INST_001_0130,Sanskrit,Practical Exam,2025-08-13,25,4,17.8,D,Second Term,Needs Improvement
ASS_INST_001_001939,STU_INST_001_0130,Physics,Project Work,2025-07-19,100,28,28.8,D,Second Term,Needs Improvement
ASS_INST_001_001940,STU_INST_001_0130,Hindi,Quiz,2025-06-24,100,36,37.0,D,First Term,Needs Improvement
ASS_INST_001_001941,STU_INST_001_0130,Social Studies,Assignment,2025-07-11,20,0,0.0,D,Final Term,Needs Improvement
ASS_INST_001_001942,STU_INST_001_0131,Mathematics,Internal Assessment,2025-07-27,25,10,42.8,C2,First Term,Needs Improvement
ASS_INST_001_001943,STU_INST_001_0131,English,Viva Voce,2025-05-22,50,17,34.6,D,Final Term,Needs Improvement
ASS_INST_001_001944,STU_INST_001_0131,Economics,Final Exam,2025-08-19,80,8,10.7,D,Second Term,Needs Improvement
ASS_INST_001_001945,STU_INST_001_0131,Biology,Half Yearly Exam,2025-07-26,80,41,51.6,C1,First Term,Satisfactory
ASS_INST_001_001946,STU_INST_001_0131,Computer Science,Practical Exam,2025-08-29,100,47,47.0,C2,Second Term,Needs Improvement
ASS_INST_001_001947,STU_INST_001_0131,Social Studies,Practical Exam,2025-06-06,25,11,44.4,C2,Second Term,Needs Improvement
ASS_INST_001_001948,STU_INST_001_0131,Accountancy,Quiz,2025-08-22,50,26,52.4,C1,First Term,Satisfactory
ASS_INST_001_001949,STU_INST_001_0131,Hindi,Unit Test,2025-09-13,25,11,47.2,C2,Final Term,Needs Improvement
ASS_INST_001_001950,STU_INST_001_0131,Biology,Monthly Test,2025-06-17,80,22,28.2,D,Second Term,Needs Improvement
ASS_INST_001_001951,STU_INST_001_0131,Accountancy,Assignment,2025-09-05,80,43,54.5,C1,Second Term,Satisfactory
ASS_INST_001_001952,STU_INST_001_0131,English,Practical Exam,2025-07-05,50,28,57.5,C1,First Term,Satisfactory
ASS_INST_001_001953,STU_INST_001_0131,Accountancy,Assignment,2025-06-27,100,21,21.9,D,Second Term,Needs Improvement
ASS_INST_001_001954,STU_INST_001_0131,Biology,Viva Voce,2025-07-26,25,14,57.3,C1,Second Term,Satisfactory
ASS_INST_001_001955,STU_INST_001_0131,Physics,Assignment,2025-06-04,20,7,36.3,D,Final Term,Needs Improvement
ASS_INST_001_001956,STU_INST_001_0131,Mathematics,Assignment,2025-08-05,25,13,52.5,C1,Second Term,Satisfactory
ASS_INST_001_001957,STU_INST_001_0131,Chemistry,Viva Voce,2025-08-18,50,22,44.2,C2,Second Term,Needs Improvement
ASS_INST_001_001958,STU_INST_001_0132,Biology,Assignment,2025-09-02,20,7,38.7,D,Final Term,Needs Improvement
ASS_INST_001_001959,STU_INST_001_0132,Biology,Unit Test,2025-09-06,100,51,51.5,C1,Final Term,Satisfactory
ASS_INST_001_001960,STU_INST_001_0132,Chemistry,Internal Assessment,2025-05-27,25,8,35.8,D,First Term,Needs Improvement
ASS_INST_001_001961,STU_INST_001_0132,Economics,Assignment,2025-07-14,80,49,61.3,B2,First Term,Good
ASS_INST_001_001962,STU_INST_001_0132,Science,Monthly Test,2025-09-11,50,32,64.2,B2,Second Term,Good
ASS_INST_001_001963,STU_INST_001_0132,Mathematics,Quiz,2025-08-03,50,15,32.0,D,First Term,Needs Improvement
ASS_INST_001_001964,STU_INST_001_0132,Economics,Unit Test,2025-07-21,20,7,38.8,D,Second Term,Needs Improvement
ASS_INST_001_001965,STU_INST_001_0132,English,Viva Voce,2025-05-31,20,7,35.1,D,Final Term,Needs Improvement
ASS_INST_001_001966,STU_INST_001_0132,Economics,Quiz,2025-06-12,100,48,48.6,C2,First Term,Needs Improvement
ASS_INST_001_001967,STU_INST_001_0132,Economics,Project Work,2025-07-31,100,65,65.4,B2,First Term,Good
ASS_INST_001_001968,STU_INST_001_0132,Biology,Final Exam,2025-08-10,20,2,11.8,D,Final Term,Needs Improvement
ASS_INST_001_001969,STU_INST_001_0132,Science,Final Exam,2025-09-01,80,13,16.3,D,First Term,Needs Improvement
ASS_INST_001_001970,STU_INST_001_0132,Social Studies,Quiz,2025-09-02,50,20,40.3,C2,First Term,Needs Improvement
ASS_INST_001_001971,STU_INST_001_0132,English,Final Exam,2025-07-12,50,22,45.2,C2,First Term,Needs Improvement
ASS_INST_001_001972,STU_INST_001_0132,Chemistry,Practical Exam,2025-05-22,100,24,24.9,D,First Term,Needs Improvement
ASS_INST_001_001973,STU_INST_001_0132,Sanskrit,Assignment,2025-06-13,50,22,45.1,C2,Second Term,Needs Improvement
ASS_INST_001_001974,STU_INST_001_0133,Physics,Viva Voce,2025-05-19,50,11,23.2,D,Second Term,Needs Improvement
ASS_INST_001_001975,STU_INST_001_0133,Economics,Quiz,2025-06-08,80,22,28.5,D,Final Term,Needs Improvement
ASS_INST_001_001976,STU_INST_001_0133,Social Studies,Monthly Test,2025-07-13,20,11,59.4,C1,Final Term,Satisfactory
ASS_INST_001_001977,STU_INST_001_0133,Economics,Monthly Test,2025-05-24,100,30,30.4,D,Second Term,Needs Improvement
ASS_INST_001_001978,STU_INST_001_0133,Computer Science,Viva Voce,2025-07-15,100,30,30.1,D,Second Term,Needs Improvement
ASS_INST_001_001979,STU_INST_001_0133,Sanskrit,Unit Test,2025-06-03,25,9,38.9,D,First Term,Needs Improvement
ASS_INST_001_001980,STU_INST_001_0133,Accountancy,Half Yearly Exam,2025-07-10,25,14,56.2,C1,Final Term,Satisfactory
ASS_INST_001_001981,STU_INST_001_0133,Sanskrit,Viva Voce,2025-08-23,25,8,35.8,D,First Term,Needs Improvement
ASS_INST_001_001982,STU_INST_001_0133,Computer Science,Project Work,2025-06-25,25,6,26.5,D,First Term,Needs Improvement
ASS_INST_001_001983,STU_INST_001_0133,Science,Practical Exam,2025-06-13,100,46,47.0,C2,Final Term,Needs Improvement
ASS_INST_001_001984,STU_INST_001_0133,Chemistry,Quiz,2025-07-16,20,10,51.2,C1,Second Term,Satisfactory
ASS_INST_001_001985,STU_INST_001_0133,Computer Science,Assignment,2025-08-01,50,28,57.2,C1,First Term,Satisfactory
ASS_INST_001_001986,STU_INST_001_0133,Biology,Practical Exam,2025-07-11,25,8,35.9,D,First Term,Needs Improvement
ASS_INST_001_001987,STU_INST_001_0133,Hindi,Quiz,2025-06-15,80,36,45.1,C2,Second Term,Needs Improvement
ASS_INST_001_001988,STU_INST_001_0134,English,Practical Exam,2025-06-22,80,47,59.4,C1,First Term,Satisfactory
ASS_INST_001_001989,STU_INST_001_0134,Social Studies,Internal Assessment,2025-06-12,50,24,48.5,C2,First Term,Needs Improvement
ASS_INST_001_001990,STU_INST_001_0134,Biology,Internal Assessment,2025-08-05,80,55,68.9,B2,Final Term,Good
ASS_INST_001_001991,STU_INST_001_0134,Social Studies,Monthly Test,2025-06-05,20,11,56.9,C1,Final Term,Satisfactory
ASS_INST_001_001992,STU_INST_001_0134,Biology,Internal Assessment,2025-06-30,100,79,79.1,B1,Second Term,Very Good
ASS_INST_001_001993,STU_INST_001_0134,Computer Science,Half Yearly Exam,2025-06-03,100,61,61.7,B2,Final Term,Good
ASS_INST_001_001994,STU_INST_001_0134,Physics,Viva Voce,2025-09-15,20,2,10.5,D,Final Term,Needs Improvement
ASS_INST_001_001995,STU_INST_001_0134,Hindi,Viva Voce,2025-09-05,80,30,38.0,D,Second Term,Needs Improvement
ASS_INST_001_001996,STU_INST_001_0134,Accountancy,Half Yearly Exam,2025-06-17,100,16,16.1,D,Final Term,Needs Improvement
ASS_INST_001_001997,STU_INST_001_0134,Economics,Practical Exam,2025-07-09,25,8,33.7,D,Second Term,Needs Improvement
ASS_INST_001_001998,STU_INST_001_0134,Science,Internal Assessment,2025-06-25,20,7,38.5,D,Final Term,Needs Improvement
ASS_INST_001_001999,STU_INST_001_0134,Science,Practical Exam,2025-05-23,25,15,60.8,B2,Final Term,Good
ASS_INST_001_002000,STU_INST_001_0134,Physics,Practical Exam,2025-07-17,80,29,37.3,D,Second Term,Needs Improvement
ASS_INST_001_002001,STU_INST_001_0134,Mathematics,Quiz,2025-08-08,50,35,70.3,B1,Second Term,Very Good
ASS_INST_001_002002,STU_INST_001_0134,Hindi,Internal Assessment,2025-08-02,80,26,33.2,D,Final Term,Needs Improvement
ASS_INST_001_002003,STU_INST_001_0135,Mathematics,Quiz,2025-05-31,100,57,57.6,C1,First Term,Satisfactory
ASS_INST_001_002004,STU_INST_001_0135,Computer Science,Practical Exam,2025-05-30,50,20,40.5,C2,Second Term,Needs Improvement
ASS_INST_001_002005,STU_INST_001_0135,Physics,Practical Exam,2025-06-12,20,17,88.8,A2,First Term,Excellent
ASS_INST_001_002006,STU_INST_001_0135,Economics,Project Work,2025-08-30,25,22,91.2,A1,Second Term,Outstanding
ASS_INST_001_002007,STU_INST_001_0135,Mathematics,Project Work,2025-06-11,80,48,60.4,B2,Final Term,Good
ASS_INST_001_002008,STU_INST_001_0135,Computer Science,Half Yearly Exam,2025-06-28,80,28,36.2,D,First Term,Needs Improvement
ASS_INST_001_002009,STU_INST_001_0135,Sanskrit,Monthly Test,2025-08-20,100,59,59.1,C1,Second Term,Satisfactory
ASS_INST_001_002010,STU_INST_001_0135,Economics,Practical Exam,2025-08-22,20,13,67.0,B2,First Term,Good
ASS_INST_001_002011,STU_INST_001_0135,Computer Science,Unit Test,2025-08-01,20,10,51.4,C1,Second Term,Satisfactory
ASS_INST_001_002012,STU_INST_001_0135,Accountancy,Practical Exam,2025-08-08,100,100,100.0,A1,Final Term,Outstanding
ASS_INST_001_002013,STU_INST_001_0135,Physics,Quiz,2025-08-02,80,76,95.7,A1,Final Term,Outstanding
ASS_INST_001_002014,STU_INST_001_0135,Biology,Quiz,2025-06-28,25,7,31.3,D,Second Term,Needs Improvement
ASS_INST_001_002015,STU_INST_001_0135,Physics,Assignment,2025-07-19,20,8,42.0,C2,Second Term,Needs Improvement
ASS_INST_001_002016,STU_INST_001_0135,English,Monthly Test,2025-07-04,20,14,71.1,B1,Final Term,Very Good
ASS_INST_001_002017,STU_INST_001_0135,Physics,Viva Voce,2025-06-02,100,43,43.5,C2,Second Term,Needs Improvement
ASS_INST_001_002018,STU_INST_001_0135,Science,Half Yearly Exam,2025-06-17,20,13,66.1,B2,First Term,Good
ASS_INST_001_002019,STU_INST_001_0135,Science,Monthly Test,2025-06-28,50,31,63.0,B2,Final Term,Good
ASS_INST_001_002020,STU_INST_001_0135,Sanskrit,Unit Test,2025-09-15,100,62,62.1,B2,First Term,Good
ASS_INST_001_002021,STU_INST_001_0136,English,Half Yearly Exam,2025-08-31,20,12,61.1,B2,First Term,Good
ASS_INST_001_002022,STU_INST_001_0136,Physics,Viva Voce,2025-08-13,80,60,75.3,B1,First Term,Very Good
ASS_INST_001_002023,STU_INST_001_0136,Accountancy,Monthly Test,2025-06-07,50,24,49.9,C2,Second Term,Needs Improvement
ASS_INST_001_002024,STU_INST_001_0136,Chemistry,Viva Voce,2025-09-06,100,20,20.9,D,Second Term,Needs Improvement
ASS_INST_001_002025,STU_INST_001_0136,Sanskrit,Viva Voce,2025-08-23,20,9,45.3,C2,First Term,Needs Improvement
ASS_INST_001_002026,STU_INST_001_0136,Science,Half Yearly Exam,2025-06-01,20,6,32.2,D,First Term,Needs Improvement
ASS_INST_001_002027,STU_INST_001_0136,Mathematics,Viva Voce,2025-08-20,100,78,78.6,B1,Final Term,Very Good
ASS_INST_001_002028,STU_INST_001_0136,Sanskrit,Unit Test,2025-07-11,25,13,55.2,C1,Second Term,Satisfactory
ASS_INST_001_002029,STU_INST_001_0136,Biology,Viva Voce,2025-07-16,25,12,50.0,C2,Final Term,Needs Improvement
ASS_INST_001_002030,STU_INST_001_0136,Social Studies,Half Yearly Exam,2025-08-31,50,27,54.4,C1,First Term,Satisfactory
ASS_INST_001_002031,STU_INST_001_0136,Mathematics,Internal Assessment,2025-06-09,100,42,42.1,C2,Second Term,Needs Improvement
ASS_INST_001_002032,STU_INST_001_0136,Mathematics,Monthly Test,2025-06-11,50,32,65.3,B2,Second Term,Good
ASS_INST_001_002033,STU_INST_001_0136,Computer Science,Project Work,2025-08-09,80,25,32.5,D,Second Term,Needs Improvement
ASS_INST_001_002034,STU_INST_001_0137,Science,Practical Exam,2025-08-10,100,62,62.3,B2,First Term,Good
ASS_INST_001_002035,STU_INST_001_0137,Social Studies,Assignment,2025-07-08,80,58,73.7,B1,First Term,Very Good
ASS_INST_001_002036,STU_INST_001_0137,Mathematics,Internal Assessment,2025-07-16,80,24,30.3,D,Final Term,Needs Improvement
ASS_INST_001_002037,STU_INST_001_0137,Biology,Viva Voce,2025-08-10,20,10,51.1,C1,Final Term,Satisfactory
ASS_INST_001_002038,STU_INST_001_0137,Science,Final Exam,2025-06-20,50,26,52.5,C1,Second Term,Satisfactory
ASS_INST_001_002039,STU_INST_001_0137,Chemistry,Monthly Test,2025-07-17,20,5,25.7,D,First Term,Needs Improvement
ASS_INST_001_002040,STU_INST_001_0137,Science,Unit Test,2025-06-01,100,20,20.4,D,Second Term,Needs Improvement
ASS_INST_001_002041,STU_INST_001_0137,Mathematics,Practical Exam,2025-07-30,100,28,28.5,D,Second Term,Needs Improvement
ASS_INST_001_002042,STU_INST_001_0137,English,Project Work,2025-07-17,50,22,44.1,C2,Final Term,Needs Improvement
ASS_INST_001_002043,STU_INST_001_0137,English,Practical Exam,2025-05-23,100,52,52.5,C1,First Term,Satisfactory
ASS_INST_001_002044,STU_INST_001_0137,Science,Unit Test,2025-05-27,50,19,38.3,D,Second Term,Needs Improvement
ASS_INST_001_002045,STU_INST_001_0137,Accountancy,Unit Test,2025-06-02,20,15,79.8,B1,Final Term,Very Good
ASS_INST_001_002046,STU_INST_001_0137,Computer Science,Quiz,2025-08-01,20,12,63.5,B2,First Term,Good
ASS_INST_001_002047,STU_INST_001_0137,Physics,Viva Voce,2025-06-10,25,13,53.1,C1,First Term,Satisfactory
ASS_INST_001_002048,STU_INST_001_0137,Computer Science,Assignment,2025-09-05,20,7,37.3,D,Final Term,Needs Improvement
ASS_INST_001_002049,STU_INST_001_0137,Economics,Unit Test,2025-08-17,100,46,46.3,C2,Final Term,Needs Improvement
ASS_INST_001_002050,STU_INST_001_0138,Physics,Assignment,2025-07-08,100,82,82.8,A2,First Term,Excellent
ASS_INST_001_002051,STU_INST_001_0138,Science,Quiz,2025-06-23,50,39,79.6,B1,First Term,Very Good
ASS_INST_001_002052,STU_INST_001_0138,Accountancy,Project Work,2025-06-05,100,79,79.4,B1,Final Term,Very Good
ASS_INST_001_002053,STU_INST_001_0138,Mathematics,Internal Assessment,2025-06-20,20,11,57.5,C1,Second Term,Satisfactory
ASS_INST_001_002054,STU_INST_001_0138,English,Viva Voce,2025-06-30,80,42,53.6,C1,Final Term,Satisfactory
ASS_INST_001_002055,STU_INST_001_0138,Social Studies,Project Work,2025-07-04,25,9,37.3,D,Second Term,Needs Improvement
ASS_INST_001_002056,STU_INST_001_0138,Accountancy,Quiz,2025-07-11,50,36,72.5,B1,Second Term,Very Good
ASS_INST_001_002057,STU_INST_001_0138,Physics,Half Yearly Exam,2025-07-29,100,35,35.7,D,Second Term,Needs Improvement
ASS_INST_001_002058,STU_INST_001_0138,Accountancy,Project Work,2025-06-10,20,12,62.7,B2,Second Term,Good
ASS_INST_001_002059,STU_INST_001_0138,Physics,Assignment,2025-09-10,20,11,55.4,C1,Final Term,Satisfactory
ASS_INST_001_002060,STU_INST_001_0138,Biology,Viva Voce,2025-08-22,25,16,67.0,B2,Second Term,Good
ASS_INST_001_002061,STU_INST_001_0138,Mathematics,Project Work,2025-06-21,50,41,84.0,A2,Second Term,Excellent
ASS_INST_001_002062,STU_INST_001_0138,English,Viva Voce,2025-06-05,25,21,87.4,A2,First Term,Excellent
ASS_INST_001_002063,STU_INST_001_0138,Physics,Internal Assessment,2025-08-12,25,18,75.6,B1,Final Term,Very Good
ASS_INST_001_002064,STU_INST_001_0138,Computer Science,Practical Exam,2025-05-20,50,24,49.2,C2,First Term,Needs Improvement
ASS_INST_001_002065,STU_INST_001_0138,Mathematics,Final Exam,2025-07-12,25,15,62.6,B2,Second Term,Good
ASS_INST_001_002066,STU_INST_001_0138,Physics,Half Yearly Exam,2025-09-03,100,47,47.3,C2,Final Term,Needs Improvement
ASS_INST_001_002067,STU_INST_001_0139,Computer Science,Half Yearly Exam,2025-07-25,80,28,35.3,D,Final Term,Needs Improvement
ASS_INST_001_002068,STU_INST_001_0139,Science,Project Work,2025-06-04,25,13,55.7,C1,Second Term,Satisfactory
ASS_INST_001_002069,STU_INST_001_0139,Economics,Assignment,2025-06-25,25,7,29.5,D,Second Term,Needs Improvement
ASS_INST_001_002070,STU_INST_001_0139,Accountancy,Half Yearly Exam,2025-05-20,25,9,38.9,D,Final Term,Needs Improvement
ASS_INST_001_002071,STU_INST_001_0139,Hindi,Half Yearly Exam,2025-08-14,100,27,27.8,D,Second Term,Needs Improvement
ASS_INST_001_002072,STU_INST_001_0139,Accountancy,Project Work,2025-07-11,80,47,58.9,C1,First Term,Satisfactory
ASS_INST_001_002073,STU_INST_001_0139,Science,Practical Exam,2025-09-09,20,8,40.6,C2,First Term,Needs Improvement
ASS_INST_001_002074,STU_INST_001_0139,Biology,Half Yearly Exam,2025-08-14,20,1,7.2,D,Second Term,Needs Improvement
ASS_INST_001_002075,STU_INST_001_0139,Hindi,Project Work,2025-06-07,25,19,76.5,B1,Second Term,Very Good
ASS_INST_001_002076,STU_INST_001_0139,Accountancy,Final Exam,2025-08-21,20,13,65.3,B2,First Term,Good
