mapping_id,mentor_id,student_id,assigned_date,status,last_interaction,interaction_type,interaction_frequency,communication_mode,parent_contact_frequency,academic_support_provided,counseling_sessions
MAP_INST_001_000453,MEN_INST_001_021,STU_INST_001_0453,2024-05-10,Active,2025-08-29,Academic Review,Daily,SMS,Weekly,True,0
MAP_INST_001_000454,MEN_INST_001_022,STU_INST_001_0454,2024-06-01,Active,2025-09-02,Progress Update,Weekly,Email,Weekly,False,5
MAP_INST_001_000455,MEN_INST_001_023,STU_INST_001_0455,2025-03-07,Active,2025-08-31,Progress Update,Daily,WhatsApp,Weekly,False,5
MAP_INST_001_000456,MEN_INST_001_024,STU_INST_001_0456,2024-12-08,Active,2025-09-07,Counseling Session,Bi-weekly,Phone Call,As Needed,False,4
MAP_INST_001_000457,MEN_INST_001_001,STU_INST_001_0457,2023-10-01,Active,2025-09-05,Progress Update,Daily,In Person,Monthly,True,3
MAP_INST_001_000458,MEN_INST_001_002,STU_INST_001_0458,2024-04-14,Active,2025-09-03,Parent Meeting,Daily,Email,Fortnightly,True,5
MAP_INST_001_000459,MEN_INST_001_003,STU_INST_001_0459,2025-04-22,Active,2025-09-01,Counseling Session,Bi-weekly,WhatsApp,As Needed,True,3
MAP_INST_001_000460,MEN_INST_001_004,STU_INST_001_0460,2025-02-03,Active,2025-09-12,Counseling Session,Weekly,SMS,Weekly,True,5
MAP_INST_001_000461,MEN_INST_001_005,STU_INST_001_0461,2024-06-21,Active,2025-08-29,Counseling Session,Daily,SMS,Weekly,True,1
MAP_INST_001_000462,MEN_INST_001_006,STU_INST_001_0462,2025-06-01,Active,2025-08-27,Counseling Session,Monthly,SMS,Monthly,False,1
MAP_INST_001_000463,MEN_INST_001_007,STU_INST_001_0463,2025-01-29,Active,2025-09-09,Parent Meeting,Bi-weekly,WhatsApp,Monthly,False,5
MAP_INST_001_000464,MEN_INST_001_008,STU_INST_001_0464,2024-09-23,Active,2025-09-05,Progress Update,Monthly,Phone Call,As Needed,False,0
MAP_INST_001_000465,MEN_INST_001_009,STU_INST_001_0465,2024-02-02,Active,2025-09-02,Behavioral Discussion,Weekly,WhatsApp,Monthly,True,1
MAP_INST_001_000466,MEN_INST_001_010,STU_INST_001_0466,2025-05-19,Active,2025-09-05,Progress Update,Daily,Email,Monthly,False,4
MAP_INST_001_000467,MEN_INST_001_011,STU_INST_001_0467,2024-09-09,Active,2025-09-07,Parent Meeting,Bi-weekly,Phone Call,As Needed,False,2
MAP_INST_001_000468,MEN_INST_001_012,STU_INST_001_0468,2025-08-01,Active,2025-09-12,Counseling Session,Daily,SMS,Monthly,True,3
MAP_INST_001_000469,MEN_INST_001_013,STU_INST_001_0469,2025-02-07,Active,2025-09-06,Academic Review,Monthly,Phone Call,As Needed,True,3
MAP_INST_001_000470,MEN_INST_001_014,STU_INST_001_0470,2023-10-13,Active,2025-09-14,Progress Update,Daily,Phone Call,Fortnightly,False,1
MAP_INST_001_000471,MEN_INST_001_015,STU_INST_001_0471,2024-12-22,Active,2025-09-03,Counseling Session,Bi-weekly,Email,As Needed,True,1
MAP_INST_001_000472,MEN_INST_001_016,STU_INST_001_0472,2023-12-09,Active,2025-09-10,Behavioral Discussion,Monthly,Phone Call,Monthly,False,3
MAP_INST_001_000473,MEN_INST_001_017,STU_INST_001_0473,2024-06-11,Active,2025-09-16,Academic Review,Daily,WhatsApp,Fortnightly,True,0
MAP_INST_001_000474,MEN_INST_001_018,STU_INST_001_0474,2025-02-10,Active,2025-08-26,Behavioral Discussion,Bi-weekly,In Person,Weekly,False,4
MAP_INST_001_000475,MEN_INST_001_019,STU_INST_001_0475,2023-09-29,Active,2025-09-11,Academic Review,Weekly,In Person,As Needed,False,2
MAP_INST_001_000476,MEN_INST_001_020,STU_INST_001_0476,2024-09-08,Active,2025-09-04,Progress Update,Bi-weekly,WhatsApp,Weekly,False,0
MAP_INST_001_000477,MEN_INST_001_021,STU_INST_001_0477,2024-04-24,Active,2025-09-04,Academic Review,Bi-weekly,SMS,Weekly,True,3
MAP_INST_001_000478,MEN_INST_001_022,STU_INST_001_0478,2024-04-29,Active,2025-09-03,Parent Meeting,Monthly,SMS,Weekly,False,1
MAP_INST_001_000479,MEN_INST_001_023,STU_INST_001_0479,2023-09-26,Active,2025-09-11,Progress Update,Monthly,Phone Call,Monthly,True,0
MAP_INST_001_000480,MEN_INST_001_024,STU_INST_001_0480,2024-05-06,Active,2025-09-08,Counseling Session,Monthly,WhatsApp,Weekly,False,5
MAP_INST_001_000481,MEN_INST_001_001,STU_INST_001_0481,2024-01-31,Active,2025-08-26,Parent Meeting,Bi-weekly,In Person,Fortnightly,True,4
MAP_INST_001_000482,MEN_INST_001_002,STU_INST_001_0482,2024-11-24,Active,2025-09-16,Progress Update,Bi-weekly,Phone Call,As Needed,False,0
MAP_INST_001_000483,MEN_INST_001_003,STU_INST_001_0483,2024-10-05,Active,2025-09-01,Counseling Session,Bi-weekly,Email,Weekly,True,1
MAP_INST_001_000484,MEN_INST_001_004,STU_INST_001_0484,2024-03-09,Active,2025-08-26,Academic Review,Bi-weekly,In Person,Weekly,True,3
MAP_INST_001_000485,MEN_INST_001_005,STU_INST_001_0485,2024-01-02,Active,2025-09-15,Behavioral Discussion,Bi-weekly,Phone Call,Monthly,True,5
MAP_INST_001_000486,MEN_INST_001_006,STU_INST_001_0486,2024-05-09,Active,2025-09-03,Academic Review,Bi-weekly,Email,Monthly,False,5
MAP_INST_001_000487,MEN_INST_001_007,STU_INST_001_0487,2024-03-03,Active,2025-09-06,Academic Review,Daily,Phone Call,Monthly,False,0
MAP_INST_001_000488,MEN_INST_001_008,STU_INST_001_0488,2024-11-11,Active,2025-09-09,Counseling Session,Weekly,SMS,As Needed,False,0
MAP_INST_001_000489,MEN_INST_001_009,STU_INST_001_0489,2025-05-03,Active,2025-08-31,Parent Meeting,Weekly,WhatsApp,Monthly,True,2
MAP_INST_001_000490,MEN_INST_001_010,STU_INST_001_0490,2024-06-19,Active,2025-09-16,Parent Meeting,Monthly,SMS,Fortnightly,True,3
MAP_INST_001_000491,MEN_INST_001_011,STU_INST_001_0491,2024-12-21,Active,2025-09-02,Progress Update,Weekly,Phone Call,As Needed,False,0
MAP_INST_001_000492,MEN_INST_001_012,STU_INST_001_0492,2024-04-14,Active,2025-08-29,Academic Review,Daily,SMS,Monthly,False,5
MAP_INST_001_000493,MEN_INST_001_013,STU_INST_001_0493,2023-09-27,Active,2025-08-27,Behavioral Discussion,Bi-weekly,WhatsApp,Fortnightly,True,5
MAP_INST_001_000494,MEN_INST_001_014,STU_INST_001_0494,2025-02-03,Active,2025-09-13,Academic Review,Monthly,WhatsApp,Monthly,True,4
MAP_INST_001_000495,MEN_INST_001_015,STU_INST_001_0495,2025-04-23,Active,2025-09-03,Parent Meeting,Weekly,In Person,Monthly,False,3
MAP_INST_001_000496,MEN_INST_001_016,STU_INST_001_0496,2025-05-12,Active,2025-09-12,Parent Meeting,Monthly,Phone Call,Weekly,False,2
MAP_INST_001_000497,MEN_INST_001_017,STU_INST_001_0497,2024-12-25,Active,2025-09-10,Parent Meeting,Daily,Email,Weekly,False,1
MAP_INST_001_000498,MEN_INST_001_018,STU_INST_001_0498,2024-03-06,Active,2025-09-11,Academic Review,Monthly,In Person,As Needed,False,4
MAP_INST_001_000499,MEN_INST_001_019,STU_INST_001_0499,2024-11-10,Active,2025-09-03,Academic Review,Bi-weekly,In Person,Fortnightly,False,5
MAP_INST_001_000500,MEN_INST_001_020,STU_INST_001_0500,2025-05-16,Active,2025-09-02,Counseling Session,Daily,In Person,Monthly,False,2
MAP_INST_001_000501,MEN_INST_001_021,STU_INST_001_0501,2023-11-23,Active,2025-09-01,Behavioral Discussion,Daily,SMS,Weekly,False,1
MAP_INST_001_000502,MEN_INST_001_022,STU_INST_001_0502,2024-07-17,Active,2025-09-15,Progress Update,Monthly,Phone Call,Weekly,False,2
MAP_INST_001_000503,MEN_INST_001_023,STU_INST_001_0503,2024-10-05,Active,2025-09-02,Progress Update,Daily,Email,Fortnightly,True,2
MAP_INST_001_000504,MEN_INST_001_024,STU_INST_001_0504,2025-06-21,Active,2025-09-10,Parent Meeting,Bi-weekly,Phone Call,As Needed,True,4
MAP_INST_001_000505,MEN_INST_001_001,STU_INST_001_0505,2023-10-22,Active,2025-09-01,Counseling Session,Weekly,Phone Call,Monthly,True,1
MAP_INST_001_000506,MEN_INST_001_002,STU_INST_001_0506,2025-03-09,Active,2025-09-08,Behavioral Discussion,Monthly,In Person,Monthly,False,0
MAP_INST_001_000507,MEN_INST_001_003,STU_INST_001_0507,2025-04-02,Active,2025-08-31,Parent Meeting,Weekly,Phone Call,Monthly,False,5
MAP_INST_001_000508,MEN_INST_001_004,STU_INST_001_0508,2024-08-08,Active,2025-09-02,Progress Update,Daily,Phone Call,Monthly,False,4
MAP_INST_001_000509,MEN_INST_001_005,STU_INST_001_0509,2024-07-09,Active,2025-09-04,Academic Review,Bi-weekly,In Person,As Needed,True,3
MAP_INST_001_000510,MEN_INST_001_006,STU_INST_001_0510,2024-03-01,Active,2025-09-01,Progress Update,Monthly,Phone Call,Fortnightly,False,4
MAP_INST_001_000511,MEN_INST_001_007,STU_INST_001_0511,2024-08-12,Active,2025-09-04,Progress Update,Daily,WhatsApp,As Needed,False,1
MAP_INST_001_000512,MEN_INST_001_008,STU_INST_001_0512,2024-11-26,Active,2025-09-10,Counseling Session,Weekly,WhatsApp,Monthly,True,2
MAP_INST_001_000513,MEN_INST_001_009,STU_INST_001_0513,2023-12-20,Active,2025-09-03,Behavioral Discussion,Weekly,In Person,Monthly,False,3
MAP_INST_001_000514,MEN_INST_001_010,STU_INST_001_0514,2024-02-07,Active,2025-09-15,Parent Meeting,Weekly,SMS,Monthly,False,1
MAP_INST_001_000515,MEN_INST_001_011,STU_INST_001_0515,2024-10-10,Active,2025-09-10,Progress Update,Bi-weekly,SMS,Weekly,False,5
MAP_INST_001_000516,MEN_INST_001_012,STU_INST_001_0516,2025-06-21,Active,2025-09-14,Parent Meeting,Bi-weekly,In Person,Fortnightly,False,0
MAP_INST_001_000517,MEN_INST_001_013,STU_INST_001_0517,2025-02-01,Active,2025-08-31,Progress Update,Daily,Email,As Needed,False,5
MAP_INST_001_000518,MEN_INST_001_014,STU_INST_001_0518,2025-01-31,Active,2025-09-03,Academic Review,Daily,Phone Call,As Needed,True,5
MAP_INST_001_000519,MEN_INST_001_015,STU_INST_001_0519,2024-07-20,Active,2025-09-13,Behavioral Discussion,Daily,Phone Call,Monthly,False,1
MAP_INST_001_000520,MEN_INST_001_016,STU_INST_001_0520,2024-09-16,Active,2025-09-03,Behavioral Discussion,Daily,In Person,Fortnightly,True,0
MAP_INST_001_000521,MEN_INST_001_017,STU_INST_001_0521,2024-10-19,Active,2025-09-12,Parent Meeting,Monthly,WhatsApp,Monthly,False,5
MAP_INST_001_000522,MEN_INST_001_018,STU_INST_001_0522,2025-04-24,Active,2025-08-28,Parent Meeting,Daily,SMS,Fortnightly,True,4
MAP_INST_001_000523,MEN_INST_001_019,STU_INST_001_0523,2024-11-07,Active,2025-09-03,Parent Meeting,Monthly,Email,As Needed,False,4
MAP_INST_001_000524,MEN_INST_001_020,STU_INST_001_0524,2025-02-17,Active,2025-09-13,Parent Meeting,Daily,Email,Weekly,True,2
MAP_INST_001_000525,MEN_INST_001_021,STU_INST_001_0525,2024-12-28,Active,2025-08-27,Academic Review,Bi-weekly,Email,Fortnightly,False,3
MAP_INST_001_000526,MEN_INST_001_022,STU_INST_001_0526,2024-12-06,Active,2025-09-10,Progress Update,Daily,Phone Call,As Needed,False,2
MAP_INST_001_000527,MEN_INST_001_023,STU_INST_001_0527,2024-04-06,Active,2025-09-10,Academic Review,Weekly,SMS,Weekly,False,2
MAP_INST_001_000528,MEN_INST_001_024,STU_INST_001_0528,2024-06-14,Active,2025-09-09,Parent Meeting,Bi-weekly,Email,Weekly,False,2
MAP_INST_001_000529,MEN_INST_001_001,STU_INST_001_0529,2024-04-10,Active,2025-09-08,Counseling Session,Weekly,WhatsApp,Weekly,False,0
MAP_INST_001_000530,MEN_INST_001_002,STU_INST_001_0530,2025-07-25,Active,2025-08-26,Behavioral Discussion,Weekly,Email,Weekly,True,4
MAP_INST_001_000531,MEN_INST_001_003,STU_INST_001_0531,2024-03-27,Active,2025-09-09,Counseling Session,Bi-weekly,WhatsApp,Fortnightly,True,2
MAP_INST_001_000532,MEN_INST_001_004,STU_INST_001_0532,2025-01-31,Active,2025-08-27,Behavioral Discussion,Weekly,In Person,Weekly,False,1
MAP_INST_001_000533,MEN_INST_001_005,STU_INST_001_0533,2025-01-08,Active,2025-09-11,Counseling Session,Daily,Phone Call,Weekly,False,3
MAP_INST_001_000534,MEN_INST_001_006,STU_INST_001_0534,2024-04-01,Active,2025-09-07,Parent Meeting,Monthly,Email,Fortnightly,False,4
MAP_INST_001_000535,MEN_INST_001_007,STU_INST_001_0535,2025-03-11,Active,2025-09-05,Progress Update,Daily,WhatsApp,As Needed,False,3
MAP_INST_001_000536,MEN_INST_001_008,STU_INST_001_0536,2024-02-22,Active,2025-09-08,Parent Meeting,Weekly,Phone Call,Fortnightly,False,4
MAP_INST_001_000537,MEN_INST_001_009,STU_INST_001_0537,2024-12-13,Active,2025-09-15,Behavioral Discussion,Weekly,SMS,Weekly,False,5
MAP_INST_001_000538,MEN_INST_001_010,STU_INST_001_0538,2025-01-17,Active,2025-09-16,Academic Review,Weekly,Phone Call,Monthly,False,1
MAP_INST_001_000539,MEN_INST_001_011,STU_INST_001_0539,2024-04-08,Active,2025-09-10,Behavioral Discussion,Bi-weekly,Phone Call,Fortnightly,True,5
MAP_INST_001_000540,MEN_INST_001_012,STU_INST_001_0540,2024-05-25,Active,2025-08-30,Counseling Session,Daily,Phone Call,As Needed,True,5
MAP_INST_001_000541,MEN_INST_001_013,STU_INST_001_0541,2024-09-13,Active,2025-09-12,Progress Update,Bi-weekly,In Person,As Needed,True,0
MAP_INST_001_000542,MEN_INST_001_014,STU_INST_001_0542,2024-06-29,Active,2025-09-05,Academic Review,Bi-weekly,In Person,As Needed,False,5
MAP_INST_001_000543,MEN_INST_001_015,STU_INST_001_0543,2024-10-21,Active,2025-09-04,Academic Review,Bi-weekly,Email,Weekly,True,0
MAP_INST_001_000544,MEN_INST_001_016,STU_INST_001_0544,2023-11-02,Active,2025-09-07,Academic Review,Monthly,In Person,Monthly,True,2
MAP_INST_001_000545,MEN_INST_001_017,STU_INST_001_0545,2025-07-11,Active,2025-09-13,Academic Review,Weekly,Phone Call,As Needed,False,1
MAP_INST_001_000546,MEN_INST_001_018,STU_INST_001_0546,2024-07-30,Active,2025-09-03,Progress Update,Bi-weekly,Email,Monthly,False,1
MAP_INST_001_000547,MEN_INST_001_019,STU_INST_001_0547,2025-02-14,Active,2025-08-29,Progress Update,Weekly,Email,Fortnightly,False,3
MAP_INST_001_000548,MEN_INST_001_020,STU_INST_001_0548,2024-03-04,Active,2025-09-08,Progress Update,Monthly,WhatsApp,Monthly,False,3
MAP_INST_001_000549,MEN_INST_001_021,STU_INST_001_0549,2023-10-27,Active,2025-08-27,Academic Review,Weekly,Phone Call,Fortnightly,True,1
MAP_INST_001_000550,MEN_INST_001_022,STU_INST_001_0550,2024-01-01,Active,2025-09-04,Counseling Session,Bi-weekly,SMS,As Needed,True,4
MAP_INST_001_000551,MEN_INST_001_023,STU_INST_001_0551,2024-03-07,Active,2025-09-03,Academic Review,Daily,WhatsApp,Monthly,True,2
MAP_INST_001_000552,MEN_INST_001_024,STU_INST_001_0552,2025-04-30,Active,2025-09-12,Counseling Session,Bi-weekly,Email,Fortnightly,False,1
MAP_INST_001_000553,MEN_INST_001_001,STU_INST_001_0553,2024-07-05,Active,2025-09-01,Behavioral Discussion,Daily,SMS,Fortnightly,True,3
MAP_INST_001_000554,MEN_INST_001_002,STU_INST_001_0554,2024-03-21,Active,2025-09-10,Academic Review,Bi-weekly,SMS,As Needed,False,3
MAP_INST_001_000555,MEN_INST_001_003,STU_INST_001_0555,2024-02-22,Active,2025-08-31,Progress Update,Weekly,SMS,Monthly,False,2
MAP_INST_001_000556,MEN_INST_001_004,STU_INST_001_0556,2025-05-28,Active,2025-08-26,Parent Meeting,Weekly,Phone Call,Fortnightly,True,2
MAP_INST_001_000557,MEN_INST_001_005,STU_INST_001_0557,2024-07-21,Active,2025-09-06,Counseling Session,Weekly,SMS,As Needed,False,2
MAP_INST_001_000558,MEN_INST_001_006,STU_INST_001_0558,2025-08-16,Active,2025-08-29,Parent Meeting,Bi-weekly,Email,As Needed,True,4
MAP_INST_001_000559,MEN_INST_001_007,STU_INST_001_0559,2025-07-21,Active,2025-09-06,Academic Review,Bi-weekly,Email,As Needed,True,1
MAP_INST_001_000560,MEN_INST_001_008,STU_INST_001_0560,2024-06-11,Active,2025-08-27,Parent Meeting,Weekly,WhatsApp,As Needed,True,4
MAP_INST_001_000561,MEN_INST_001_009,STU_INST_001_0561,2024-05-17,Active,2025-08-27,Progress Update,Monthly,Email,Monthly,True,2
MAP_INST_001_000562,MEN_INST_001_010,STU_INST_001_0562,2023-12-10,Active,2025-08-29,Parent Meeting,Daily,WhatsApp,Monthly,True,2
MAP_INST_001_000563,MEN_INST_001_011,STU_INST_001_0563,2024-03-22,Active,2025-09-11,Academic Review,Bi-weekly,Email,As Needed,False,2
MAP_INST_001_000564,MEN_INST_001_012,STU_INST_001_0564,2024-04-26,Active,2025-08-27,Counseling Session,Monthly,Email,As Needed,False,5
MAP_INST_001_000565,MEN_INST_001_013,STU_INST_001_0565,2024-04-24,Active,2025-09-02,Parent Meeting,Weekly,SMS,Monthly,True,5
MAP_INST_001_000566,MEN_INST_001_014,STU_INST_001_0566,2023-09-28,Active,2025-08-26,Behavioral Discussion,Bi-weekly,SMS,Weekly,True,2
MAP_INST_001_000567,MEN_INST_001_015,STU_INST_001_0567,2024-10-28,Active,2025-09-10,Behavioral Discussion,Monthly,In Person,As Needed,False,0
MAP_INST_001_000568,MEN_INST_001_016,STU_INST_001_0568,2024-04-17,Active,2025-09-10,Progress Update,Bi-weekly,SMS,Weekly,False,0
MAP_INST_001_000569,MEN_INST_001_017,STU_INST_001_0569,2024-10-08,Active,2025-08-29,Progress Update,Monthly,Phone Call,Fortnightly,False,0
MAP_INST_001_000570,MEN_INST_001_018,STU_INST_001_0570,2023-11-04,Active,2025-09-12,Progress Update,Weekly,Email,Monthly,True,1
MAP_INST_001_000571,MEN_INST_001_019,STU_INST_001_0571,2023-10-10,Active,2025-09-02,Counseling Session,Weekly,Phone Call,Monthly,True,0
MAP_INST_001_000572,MEN_INST_001_020,STU_INST_001_0572,2025-08-12,Active,2025-09-11,Parent Meeting,Daily,WhatsApp,Fortnightly,True,1
MAP_INST_001_000573,MEN_INST_001_021,STU_INST_001_0573,2025-07-05,Active,2025-09-11,Academic Review,Bi-weekly,Phone Call,Weekly,True,5
MAP_INST_001_000574,MEN_INST_001_022,STU_INST_001_0574,2024-05-17,Active,2025-09-03,Progress Update,Weekly,Email,Fortnightly,False,5
MAP_INST_001_000575,MEN_INST_001_023,STU_INST_001_0575,2025-02-02,Active,2025-09-10,Progress Update,Daily,Phone Call,Fortnightly,True,0
MAP_INST_001_000576,MEN_INST_001_024,STU_INST_001_0576,2024-04-28,Active,2025-09-15,Parent Meeting,Bi-weekly,SMS,As Needed,False,4
MAP_INST_001_000577,MEN_INST_001_001,STU_INST_001_0577,2025-04-10,Active,2025-09-05,Progress Update,Monthly,Email,Fortnightly,True,3
MAP_INST_001_000578,MEN_INST_001_002,STU_INST_001_0578,2024-10-15,Active,2025-09-14,Parent Meeting,Monthly,Email,Weekly,True,5
MAP_INST_001_000579,MEN_INST_001_003,STU_INST_001_0579,2025-08-09,Active,2025-09-14,Progress Update,Daily,WhatsApp,As Needed,False,0
MAP_INST_001_000580,MEN_INST_001_004,STU_INST_001_0580,2025-07-31,Active,2025-09-09,Behavioral Discussion,Bi-weekly,Phone Call,As Needed,False,2
MAP_INST_001_000581,MEN_INST_001_005,STU_INST_001_0581,2024-06-06,Active,2025-09-02,Academic Review,Daily,Email,As Needed,False,2
MAP_INST_001_000582,MEN_INST_001_006,STU_INST_001_0582,2024-03-30,Active,2025-08-28,Parent Meeting,Weekly,WhatsApp,Weekly,False,5
MAP_INST_001_000583,MEN_INST_001_007,STU_INST_001_0583,2025-05-21,Active,2025-08-30,Counseling Session,Daily,Phone Call,Weekly,True,4
MAP_INST_001_000584,MEN_INST_001_008,STU_INST_001_0584,2024-03-15,Active,2025-09-16,Progress Update,Bi-weekly,In Person,Monthly,False,1
MAP_INST_001_000585,MEN_INST_001_009,STU_INST_001_0585,2023-10-23,Active,2025-09-13,Parent Meeting,Bi-weekly,Email,Monthly,True,2
MAP_INST_001_000586,MEN_INST_001_010,STU_INST_001_0586,2024-01-31,Active,2025-09-11,Behavioral Discussion,Monthly,WhatsApp,Weekly,False,4
MAP_INST_001_000587,MEN_INST_001_011,STU_INST_001_0587,2023-10-04,Active,2025-09-09,Counseling Session,Weekly,Email,Weekly,True,5
MAP_INST_001_000588,MEN_INST_001_012,STU_INST_001_0588,2024-12-29,Active,2025-09-10,Behavioral Discussion,Weekly,In Person,Monthly,False,3
MAP_INST_001_000589,MEN_INST_001_013,STU_INST_001_0589,2025-06-30,Active,2025-08-29,Parent Meeting,Weekly,SMS,Fortnightly,False,0
MAP_INST_001_000590,MEN_INST_001_014,STU_INST_001_0590,2025-07-10,Active,2025-08-27,Progress Update,Daily,Email,Fortnightly,True,4
MAP_INST_001_000591,MEN_INST_001_015,STU_INST_001_0591,2025-07-26,Active,2025-09-08,Academic Review,Daily,Email,Fortnightly,True,3
MAP_INST_001_000592,MEN_INST_001_016,STU_INST_001_0592,2024-01-26,Active,2025-08-28,Parent Meeting,Bi-weekly,Phone Call,As Needed,True,3
MAP_INST_001_000593,MEN_INST_001_017,STU_INST_001_0593,2024-12-17,Active,2025-09-02,Academic Review,Monthly,WhatsApp,Weekly,True,3
MAP_INST_001_000594,MEN_INST_001_018,STU_INST_001_0594,2023-11-12,Active,2025-09-09,Academic Review,Monthly,Phone Call,Fortnightly,True,4
MAP_INST_001_000595,MEN_INST_001_019,STU_INST_001_0595,2025-01-06,Active,2025-09-06,Behavioral Discussion,Monthly,In Person,Monthly,True,4
MAP_INST_001_000596,MEN_INST_001_020,STU_INST_001_0596,2024-01-08,Active,2025-09-08,Counseling Session,Bi-weekly,WhatsApp,Fortnightly,True,4
MAP_INST_001_000597,MEN_INST_001_021,STU_INST_001_0597,2024-06-28,Active,2025-09-01,Academic Review,Bi-weekly,Email,Monthly,False,0
MAP_INST_001_000598,MEN_INST_001_022,STU_INST_001_0598,2025-05-22,Active,2025-09-15,Parent Meeting,Monthly,SMS,Weekly,True,2
MAP_INST_001_000599,MEN_INST_001_023,STU_INST_001_0599,2023-11-15,Active,2025-09-02,Behavioral Discussion,Bi-weekly,WhatsApp,Fortnightly,True,3
MAP_INST_001_000600,MEN_INST_001_024,STU_INST_001_0600,2025-05-13,Active,2025-08-28,Academic Review,Monthly,Phone Call,As Needed,False,3
MAP_INST_001_000601,MEN_INST_001_001,STU_INST_001_0601,2024-11-23,Active,2025-09-02,Counseling Session,Weekly,Phone Call,Monthly,False,4
MAP_INST_001_000602,MEN_INST_001_002,STU_INST_001_0602,2025-06-18,Active,2025-09-08,Behavioral Discussion,Monthly,In Person,Fortnightly,True,3
MAP_INST_001_000603,MEN_INST_001_003,STU_INST_001_0603,2024-08-19,Active,2025-08-28,Parent Meeting,Daily,Email,Fortnightly,False,5
MAP_INST_001_000604,MEN_INST_001_004,STU_INST_001_0604,2024-05-15,Active,2025-08-29,Academic Review,Weekly,SMS,Fortnightly,True,5
MAP_INST_001_000605,MEN_INST_001_005,STU_INST_001_0605,2024-09-15,Active,2025-09-10,Progress Update,Monthly,Email,Weekly,True,2
MAP_INST_001_000606,MEN_INST_001_006,STU_INST_001_0606,2024-12-31,Active,2025-09-05,Behavioral Discussion,Weekly,WhatsApp,Weekly,False,5
MAP_INST_001_000607,MEN_INST_001_007,STU_INST_001_0607,2025-04-01,Active,2025-09-10,Academic Review,Weekly,Phone Call,Fortnightly,True,0
MAP_INST_001_000608,MEN_INST_001_008,STU_INST_001_0608,2024-03-21,Active,2025-09-08,Parent Meeting,Bi-weekly,Phone Call,Weekly,True,3
MAP_INST_001_000609,MEN_INST_001_009,STU_INST_001_0609,2024-09-24,Active,2025-09-12,Parent Meeting,Weekly,SMS,Monthly,True,2
MAP_INST_001_000610,MEN_INST_001_010,STU_INST_001_0610,2025-02-02,Active,2025-08-29,Behavioral Discussion,Monthly,SMS,Monthly,True,1
MAP_INST_001_000611,MEN_INST_001_011,STU_INST_001_0611,2025-02-19,Active,2025-09-02,Progress Update,Daily,SMS,Monthly,False,2
MAP_INST_001_000612,MEN_INST_001_012,STU_INST_001_0612,2025-08-14,Active,2025-09-06,Counseling Session,Bi-weekly,Phone Call,As Needed,True,2
MAP_INST_001_000613,MEN_INST_001_013,STU_INST_001_0613,2024-09-11,Active,2025-08-31,Behavioral Discussion,Bi-weekly,Phone Call,As Needed,False,0
MAP_INST_001_000614,MEN_INST_001_014,STU_INST_001_0614,2024-07-06,Active,2025-09-03,Counseling Session,Monthly,Email,As Needed,True,2
MAP_INST_001_000615,MEN_INST_001_015,STU_INST_001_0615,2025-04-09,Active,2025-09-10,Parent Meeting,Daily,SMS,Weekly,True,3
MAP_INST_001_000616,MEN_INST_001_016,STU_INST_001_0616,2024-05-09,Active,2025-09-15,Behavioral Discussion,Weekly,Email,Monthly,True,2
MAP_INST_001_000617,MEN_INST_001_017,STU_INST_001_0617,2024-02-23,Active,2025-09-10,Counseling Session,Monthly,Phone Call,Monthly,True,4
MAP_INST_001_000618,MEN_INST_001_018,STU_INST_001_0618,2025-03-26,Active,2025-09-06,Academic Review,Daily,SMS,As Needed,True,4
MAP_INST_001_000619,MEN_INST_001_019,STU_INST_001_0619,2024-12-08,Active,2025-09-14,Progress Update,Weekly,In Person,Monthly,True,3
MAP_INST_001_000620,MEN_INST_001_020,STU_INST_001_0620,2025-04-26,Active,2025-09-06,Progress Update,Weekly,SMS,Weekly,False,1
MAP_INST_001_000621,MEN_INST_001_021,STU_INST_001_0621,2025-05-29,Active,2025-09-04,Academic Review,Weekly,In Person,Fortnightly,True,5
MAP_INST_001_000622,MEN_INST_001_022,STU_INST_001_0622,2025-05-17,Active,2025-09-06,Parent Meeting,Weekly,WhatsApp,Monthly,False,1
MAP_INST_001_000623,MEN_INST_001_023,STU_INST_001_0623,2024-10-14,Active,2025-09-07,Academic Review,Daily,SMS,As Needed,False,1
MAP_INST_001_000624,MEN_INST_001_024,STU_INST_001_0624,2023-10-16,Active,2025-09-16,Behavioral Discussion,Bi-weekly,In Person,Monthly,False,4
MAP_INST_001_000625,MEN_INST_001_001,STU_INST_001_0625,2025-06-23,Active,2025-09-05,Parent Meeting,Daily,In Person,Monthly,True,1
MAP_INST_001_000626,MEN_INST_001_002,STU_INST_001_0626,2024-12-24,Active,2025-09-14,Behavioral Discussion,Monthly,WhatsApp,As Needed,False,4
MAP_INST_001_000627,MEN_INST_001_003,STU_INST_001_0627,2025-06-12,Active,2025-08-27,Counseling Session,Monthly,In Person,Monthly,True,3
MAP_INST_001_000628,MEN_INST_001_004,STU_INST_001_0628,2024-08-28,Active,2025-09-07,Behavioral Discussion,Monthly,WhatsApp,Weekly,False,3
MAP_INST_001_000629,MEN_INST_001_005,STU_INST_001_0629,2025-03-13,Active,2025-09-08,Parent Meeting,Daily,Phone Call,Fortnightly,True,3
MAP_INST_001_000630,MEN_INST_001_006,STU_INST_001_0630,2024-10-15,Active,2025-08-27,Progress Update,Monthly,Phone Call,As Needed,False,3
